Time(min),temp
1096,21.975
1097,21.99333333
1098,22.01166667
1099,22.03
1100,22.04833333
1101,22.06666667
1102,22.085
1103,22.10333333
1104,22.12166667
1105,22.14
1106,22.15833333
1107,22.17666667
1108,22.195
1109,22.21333333
1110,22.23166667
1111,22.25
1112,22.26833333
1113,22.28666667
1114,22.305
1115,22.32333333
1116,22.34166667
1117,22.36
1118,22.37833333
1119,22.39666667
1120,22.415
1121,22.43333333
1122,22.45166667
1123,22.47
1124,22.48833333
1125,22.50666667
1126,22.525
1127,22.54333333
1128,22.56166667
1129,22.58
1130,22.59833333
1131,22.61666667
1132,22.635
1133,22.65333333
1134,22.67166667
1135,22.69
1136,22.70833333
1137,22.72666667
1138,22.745
1139,22.76333333
1140,22.78166667
1141,22.8
1142,22.79
1143,22.78
1144,22.77
1145,22.76
1146,22.75
1147,22.74
1148,22.73
1149,22.72
1150,22.71
1151,22.7
1152,22.69
1153,22.68
1154,22.67
1155,22.66
1156,22.65
1157,22.64
1158,22.63
1159,22.62
1160,22.61
1161,22.6
1162,22.59
1163,22.58
1164,22.57
1165,22.56
1166,22.55
1167,22.54
1168,22.53
1169,22.52
1170,22.51
1171,22.5
1172,22.49
1173,22.48
1174,22.47
1175,22.46
1176,22.45
1177,22.44
1178,22.43
1179,22.42
1180,22.41
1181,22.4
1182,22.39
1183,22.38
1184,22.37
1185,22.36
1186,22.35
1187,22.34
1188,22.33
1189,22.32
1190,22.31
1191,22.3
1192,22.29
1193,22.28
1194,22.27
1195,22.26
1196,22.25
1197,22.24
1198,22.23
1199,22.22
1200,22.21
1201,22.2
1202,22.19166667
1203,22.18333333
1204,22.175
1205,22.16666667
1206,22.15833333
1207,22.15
1208,22.14166667
1209,22.13333333
1210,22.125
1211,22.11666667
1212,22.10833333
1213,22.1
1214,22.09166667
1215,22.08333333
1216,22.075
1217,22.06666667
1218,22.05833333
1219,22.05
1220,22.04166667
1221,22.03333333
1222,22.025
1223,22.01666667
1224,22.00833333
1225,22
1226,21.99166667
1227,21.98333333
1228,21.975
1229,21.96666667
1230,21.95833333
1231,21.95
1232,21.94166667
1233,21.93333333
1234,21.925
1235,21.91666667
1236,21.90833333
1237,21.9
1238,21.89166667
1239,21.88333333
1240,21.875
1241,21.86666667
1242,21.85833333
1243,21.85
1244,21.84166667
1245,21.83333333
1246,21.825
1247,21.81666667
1248,21.80833333
1249,21.8
1250,21.79166667
1251,21.78333333
1252,21.775
1253,21.76666667
1254,21.75833333
1255,21.75
1256,21.74166667
1257,21.73333333
1258,21.725
1259,21.71666667
1260,21.70833333
1261,21.7
1262,21.7
1263,21.7
1264,21.7
1265,21.7
1266,21.7
1267,21.7
1268,21.7
1269,21.7
1270,21.7
1271,21.7
1272,21.7
1273,21.7
1274,21.7
1275,21.7
1276,21.7
1277,21.7
1278,21.7
1279,21.7
1280,21.7
1281,21.7
1282,21.7
1283,21.7
1284,21.7
1285,21.7
1286,21.7
1287,21.7
1288,21.7
1289,21.7
1290,21.7
1291,21.7
1292,21.7
1293,21.7
1294,21.7
1295,21.7
1296,21.7
1297,21.7
1298,21.7
1299,21.7
1300,21.7
1301,21.7
1302,21.7
1303,21.7
1304,21.7
1305,21.7
1306,21.7
1307,21.7
1308,21.7
1309,21.7
1310,21.7
1311,21.7
1312,21.7
1313,21.7
1314,21.7
1315,21.7
1316,21.7
1317,21.7
1318,21.7
1319,21.7
1320,21.7
1321,21.7
1322,21.7
1323,21.7
1324,21.7
1325,21.7
1326,21.7
1327,21.7
1328,21.7
1329,21.7
1330,21.7
1331,21.7
1332,21.7
1333,21.7
1334,21.7
1335,21.7
1336,21.7
1337,21.7
1338,21.7
1339,21.7
1340,21.7
1341,21.7
1342,21.7
1343,21.7
1344,21.7
1345,21.7
1346,21.7
1347,21.7
1348,21.7
1349,21.7
1350,21.7
1351,21.7
1352,21.7
1353,21.7
1354,21.7
1355,21.7
1356,21.7
1357,21.7
1358,21.7
1359,21.7
1360,21.7
1361,21.7
1362,21.7
1363,21.7
1364,21.7
1365,21.7
1366,21.7
1367,21.7
1368,21.7
1369,21.7
1370,21.7
1371,21.7
1372,21.7
1373,21.7
1374,21.7
1375,21.7
1376,21.7
1377,21.7
1378,21.7
1379,21.7
1380,21.7
1381,21.7
1382,21.67166667
1383,21.64333333
1384,21.615
1385,21.58666667
1386,21.55833333
1387,21.53
1388,21.50166667
1389,21.47333333
1390,21.445
1391,21.41666667
1392,21.38833333
1393,21.36
1394,21.33166667
1395,21.30333333
1396,21.275
1397,21.24666667
1398,21.21833333
1399,21.19
1400,21.16166667
1401,21.13333333
1402,21.105
1403,21.07666667
1404,21.04833333
1405,21.02
1406,20.99166667
1407,20.96333333
1408,20.935
1409,20.90666667
1410,20.87833333
1411,20.85
1412,20.82166667
1413,20.79333333
1414,20.765
1415,20.73666667
1416,20.70833333
1417,20.68
1418,20.65166667
1419,20.62333333
1420,20.595
1421,20.56666667
1422,20.53833333
1423,20.51
1424,20.48166667
1425,20.45333333
1426,20.425
1427,20.39666667
1428,20.36833333
1429,20.34
1430,20.31166667
1431,20.28333333
1432,20.255
1433,20.22666667
1434,20.19833333
1435,20.17
1436,20.14166667
1437,20.11333333
1438,20.085
1439,20.05666667
1440,20.02833333
,20
